transaction_id,date,category,description,amount,payment_method,month,day_of_week,day_type
TXN100118,2025-09-22,Miscellaneous,Gift,4.21,UPI,2025-09,Monday,Weekday
TXN100071,2025-09-22,Shopping,Electronics,32.9,Cash,2025-09,Monday,Weekday
TXN100450,2025-09-23,Bills & Utilities,Phone,109.96,Debit Card,2025-09,Tuesday,Weekday
TXN100279,2025-09-23,Groceries,Supermarket,60.18,Credit Card,2025-09,Tuesday,Weekday
TXN100010,2025-09-23,Shopping,Clothing,72.92,Net Banking,2025-09,Tuesday,Weekday
TXN100645,2025-09-24,Food & Dining,Restaurant,18.1,UPI,2025-09,Wednesday,Weekday
TXN100241,2025-09-24,Healthcare,Pharmacy,55.76,Debit Card,2025-09,Wednesday,Weekday
TXN100232,2025-09-24,Shopping,Electronics,91.45,Credit Card,2025-09,Wednesday,Weekday
TXN100854,2025-09-24,Miscellaneous,Donation,25.54,Cash,2025-09,Wednesday,Weekday
TXN100356,2025-09-24,Personal Care,Gym,29.32,Net Banking,2025-09,Wednesday,Weekday
TXN100689,2025-09-24,Shopping,Electronics,37.21,Credit Card,2025-09,Wednesday,Weekday
TXN100932,2025-09-25,Entertainment,Movie,78.3,Cash,2025-09,Thursday,Weekday
TXN100882,2025-09-25,Groceries,Supermarket,29.92,UPI,2025-09,Thursday,Weekday
TXN100601,2025-09-26,Shopping,Clothing,44.68,Credit Card,2025-09,Friday,Weekday
TXN100542,2025-09-26,Entertainment,Streaming,47.43,Cash,2025-09,Friday,Weekday
TXN100112,2025-09-26,Food & Dining,Lunch,42.69,Net Banking,2025-09,Friday,Weekday
TXN100813,2025-09-26,Food & Dining,Fast food,37.81,Cash,2025-09,Friday,Weekday
TXN100374,2025-09-26,Entertainment,Games,21.23,UPI,2025-09,Friday,Weekday
TXN100964,2025-09-27,Entertainment,Movie,21.46,Credit Card,2025-09,Saturday,Weekend
TXN100380,2025-09-28,Groceries,Supermarket,40.49,UPI,2025-09,Sunday,Weekend
TXN100442,2025-09-28,Food & Dining,Fast food,47.84,Net Banking,2025-09,Sunday,Weekend
TXN100929,2025-09-28,Bills & Utilities,Internet,73.24,Credit Card,2025-09,Sunday,Weekend
TXN100129,2025-09-29,Food & Dining,Lunch,55.48,Credit Card,2025-09,Monday,Weekday
TXN100462,2025-09-29,Travel,Hotel,108.98,Debit Card,2025-09,Monday,Weekday
TXN100910,2025-09-29,Transportation,Fuel,18.39,Debit Card,2025-09,Monday,Weekday
